:ID,:LABEL,prefLabel,identifier
align-chatbot,Alignment,Chatbot,https://lightcast.io/open-skills/skills/KS7K2A142LYPQ2Q5N1Q6/chatbot
align-chemistry,Alignment,Chemistry,https://lightcast.io/open-skills/skills/KS120LH5W508G8HMY9GG/chemistry
align-cipdetail-aspx,Alignment,Technology Management,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=91732
align-civic-engagement,Alignment,Civic Engagement,https://lightcast.io/open-skills/skills/ESB2463F41E66CB3ECB7/civic-engagement
align-civic-identity,Alignment,Civic Identity,Civic Identity
align-classroom-management,Alignment,Classroom Management,https://lightcast.io/open-skills/skills/ES246381C6B751E993D6/classroom-management
align-client-services,Alignment,Client Services,https://lightcast.io/open-skills/skills/KS121Z2775J1MHNJ03HM/client-services
align-cloud-computing,Alignment,Cloud Computing,https://lightcast.io/open-skills/skills/KS1220H6CP1BQGH9STNK/cloud-computing
align-cloud-computing-architecture,Alignment,Cloud Computing Architecture,https://lightcast.io/open-skills/skills/KS1220H6DMWTTD1XF9DW/cloud-computing-architecture
align-cloud-security,Alignment,Cloud Computing Security,https://lightcast.io/open-skills/skills/KS1220J6HKW77MYLLNC0/cloud-security
align-coaching,Alignment,Coaching,https://lightcast.io/open-skills/skills/KS43I7T7CU4Q66EGVQLU/coaching
align-code-review,Alignment,Code Review,https://lightcast.io/open-skills/skills/KS1222G6RD9GBB7Q6FY5/code-review
align-collaboration,Alignment,Collaboration,https://lightcast.io/open-skills/skills/KS7AASDV6UOE7VFBGF4D/collaboration
align-collaborative-learning,Alignment,Collaborative Learning,https://lightcast.io/open-skills/skills/KS1223M6J4SS9X86LG8Y/collaborative-learning
align-communication,Alignment,Communication,https://lightcast.io/open-skills/skills/KS122556LMQ829GZCCRV/communication
align-community-development,Alignment,Community Development,https://lightcast.io/open-skills/skills/KS1225K67C74NWDXNJSL/community-development
align-compensation-management,Alignment,Compensation Management,https://lightcast.io/open-skills/skills/KS1225Z6SRCHJBSJNCVR/compensation-management
align-competitive-analysis,Alignment,Competitive Analysis,https://lightcast.io/open-skills/skills/KS7G4X66Q33J9N7G9J4J/competitive-analysis
align-compliance-management,Alignment,Compliance Management,https://lightcast.io/open-skills/skills/BGSA09D67D5649D8559E/compliance-management
align-compliance-training,Alignment,Compliance Training,https://lightcast.io/open-skills/skills/KS1226M6HV7VQ42GZYYP/compliance-training
align-computer-aided-design,Alignment,Computer-Aided Design,https://lightcast.io/open-skills/skills/KS1201H611BT3GJ16LF6/computer-aided-design
align-computer-data-storage,Alignment,Computer Data Storage,https://lightcast.io/open-skills/skills/KS123166MFLQJ3VJK1L3/computer-data-storage
align-computer-hardware,Alignment,Computer Hardware,https://lightcast.io/open-skills/skills/KS1227N6MSF1WZ4B566W/computer-hardware
align-computer-science,Alignment,Computer Science,https://lightcast.io/open-skills/skills/KS1226Y6DNDT05G7FJ4J/computer-science
align-computer-security,Alignment,Computer Security,https://lightcast.io/open-skills/skills/KS122716P0Q9TPWQFJH3/computer-security
align-configuration-management,Alignment,Configuration Management,https://lightcast.io/open-skills/skills/KS122185W8CJGW4PSCRQ/configuration-management
align-conflict-management,Alignment,Conflict Management,https://lightcast.io/open-skills/skills/KS1228S6XKXWJ8SR7JYX/conflict-management
align-conflict-resolution,Alignment,Conflict Resolution,https://lightcast.io/open-skills/skills/KS1228S6YKWXMH4M4DL7/conflict-resolution
align-construction,Alignment,Construction,https://lightcast.io/open-skills/skills/KS1217R6SMDJ0WQHN6LK/construction
align-construction-management,Alignment,Construction Management,https://lightcast.io/open-skills/skills/KS1229V75JRKRC5S980K/construction-management
align-constructive-feedback,Alignment,Constructive Feedback,https://lightcast.io/open-skills/skills/ES886154C56DD7EB0AFF/constructive-feedback
align-content-management,Alignment,Content Management,https://lightcast.io/open-skills/skills/KS122BM7899YNC6504SP/content-management
align-content-marketing,Alignment,Content Marketing,https://lightcast.io/open-skills/skills/KS122BP5YT02HT9R6Z16/content-marketing
align-content-strategy,Alignment,Content Strategy,https://lightcast.io/open-skills/skills/KSET2IWJVEGUTA3JC9WG/content-strategy
align-continuous-improvement-process,Alignment,Continuous Improvement Process,https://lightcast.io/open-skills/skills/KS122C06Z8NDM5G6NYNT/continuous-improvement-process
align-continuous-integration,Alignment,Continuous Integration,https://lightcast.io/open-skills/skills/KS122C775KRX1DK8Q1RQ/continuous-integration
align-contract-management,Alignment,Contract Management,https://lightcast.io/open-skills/skills/KS122CH79G2KSBRRJHTN/contract-management
align-corporate-communications,Alignment,Corporate Communications,https://lightcast.io/open-skills/skills/KS122F16SHSGPXSZCZ7M/corporate-communications
align-corporate-finance,Alignment,Corporate Finance,https://lightcast.io/open-skills/skills/KS1218R61L2LHV8J334J/corporate-finance
align-corporate-governance,Alignment,Corporate Governance,https://lightcast.io/open-skills/skills/KS122F377FV66S5LZS9T/corporate-governance
align-cost-accounting,Alignment,Cost Accounting,https://lightcast.io/open-skills/skills/ESB6859F09DF2E149CC9/cost-accounting
align-cost-management,Alignment,Cost Management,https://www.gartner.com/en/finance/glossary/cost-management
align-course-development,Alignment,Course Development,https://lightcast.io/open-skills/skills/ESA9E408BB9DC98FB873/course-development
align-course-evaluations,Alignment,Course Evaluations,https://lightcast.io/open-skills/skills/KS122FY6WSY43JFFK85L/course-evaluations
align-creative-problem-solving,Alignment,Creative Problem Solving,https://lightcast.io/open-skills/skills/KS122HN63RD7JX5WNCJ8/creative-problem-solving
align-creative-thinking,Alignment,Creative Thinking,https://lightcast.io/open-skills/skills/KS122HN7559WPNWPMDML/creative-thinking
align-credit-management,Alignment,Credit Management,https://lightcast.io/open-skills/skills/KS122HX6PBGP63G658SX/credit-management
align-credit-risk,Alignment,Credit Risk,https://lightcast.io/open-skills/skills/ES1E6EFF7F7429763B50/credit-risk
align-crisis-communications,Alignment,Crisis Communications,https://lightcast.io/open-skills/skills/KS122J471ZCHXV3JWSV1/crisis-communications
align-critical-evaluation,Alignment,Critical Evaluation,Critical Evaluation
align-critical-thinking,Alignment,Critical Thinking,https://lightcast.io/open-skills/skills/KS122J56PZMMFL1SVY1F/critical-thinking
align-cryptography,Alignment,Cryptography,https://lightcast.io/open-skills/skills/KS122JY6L949K25JM9B7/cryptography
align-cultural-diversity,Alignment,Cultural Diversity,https://lightcast.io/open-skills/skills/KS122L46TBBZJ9858RGR/cultural-diversity
align-cultural-sensitivity,Alignment,Cultural Sensitivity,https://lightcast.io/open-skills/skills/KSOLBOKKX23X15NAC1IN/cultural-sensitivity
align-curriculum-design-explained-5-tips-for-educators,Alignment,Curriculum Design,https://pce.sandiego.edu/curriculum-design-explained-5-tips-for-educators/
align-curriculum-development,Alignment,Curriculum Development,https://lightcast.io/open-skills/skills/KS122LF6587VF0NZFZJW/curriculum-development
align-curriculum-planning,Alignment,Curriculum Planning,https://lightcast.io/open-skills/skills/ES82F24A0BE917B392E9/curriculum-planning
align-customer-billing,Alignment,Customer Billing,Customer Billing
align-customer-engagement,Alignment,Customer Engagement,https://lightcast.io/open-skills/skills/KS122B568MKWX1K9STGP/customer-engagement
align-customer-experience,Alignment,Customer Experience,https://lightcast.io/open-skills/skills/KS121JM6QL5CGM2LSDS9/customer-experience
align-customer-insights,Alignment,Customer Insights,https://lightcast.io/open-skills/skills/KS122LT704SSN8FFW3T4/customer-insights
align-customer-relationship-management,Alignment,Customer Relationship Management,https://lightcast.io/open-skills/skills/KS1217P66NK6BW72M9FH/customer-relationship-management
align-customer-service,Alignment,Customer Service,https://lightcast.io/open-skills/skills/KS121Z26S4VJLQ1WXN21/customer-service
align-customer-support,Alignment,Customer Support,https://lightcast.io/open-skills/skills/KS120SR6WD1FP76Z6GC2/customer-support
align-cyber-security,Alignment,Cybersecurity,https://lightcast.io/open-skills/skills/KS122MK65TBR6RDBZL1P/cyber-security
align-cyber-security-assessment,Alignment,Cybersecurity Assessment,https://lightcast.io/open-skills/skills/ESA6C2EFB8BAA57DCA14/cyber-security-assessment
align-cyber-security-strategy,Alignment,Cybersecurity Strategy,https://lightcast.io/open-skills/skills/ES47C00018E96ED19CD3/cyber-security-strategy
align-cyber-threat-hunting,Alignment,Cyber Threat Hunting,https://lightcast.io/open-skills/skills/ESDCBB1A644EC7C47023/cyber-threat-hunting
align-data-analysis,Alignment,Data Analysis,https://lightcast.io/open-skills/skills/KS120GV6C72JMSZKMTD7/data-analysis
align-data-collection,Alignment,Data Collection,https://lightcast.io/open-skills/skills/KS122NR6NY1KB0TD40G4/data-collection
align-data-management,Alignment,Data Management,https://lightcast.io/open-skills/skills/KS122PG64BT2BT6X15HF/data-management
align-data-mining,Alignment,Data Mining,https://lightcast.io/open-skills/skills/KS122PL70D99VRWMFM2T/data-mining
align-data-modeling,Alignment,Data Modeling,https://lightcast.io/open-skills/skills/KS122PM76DCYL9WC89Y7/data-modeling
align-data-normalization,Alignment,Data Normalization,https://lightcast.io/open-skills/skills/KS122PN6PF6KXP9M9H36/data-normalization
align-data-presentation,Alignment,Data Presentation,https://lightcast.io/open-skills/skills/KS122PR6NQSP5DX6GKPW/data-presentation
align-data-processing,Alignment,Data Processing,https://lightcast.io/open-skills/skills/KS1227G66P02RR405S78/data-processing
align-data-quality,Alignment,Data Quality,https://lightcast.io/open-skills/skills/KS122PT6RKPQ5KLM3XYH/data-quality
align-data-security,Alignment,Data Security,https://lightcast.io/open-skills/skills/KS122PZ6PCZ9JYT0Y5WH/data-security
align-data-visualization,Alignment,Data Visualization,https://lightcast.io/open-skills/skills/KS122Q960QYMW3YH0YWF/data-visualization
align-data-warehousing,Alignment,Data Warehousing,https://lightcast.io/open-skills/skills/KS122Q96S1LT3253TW3H/data-warehousing
align-database-administration,Alignment,Database Administration,https://lightcast.io/open-skills/skills/KS122QH61M1MNJ0BP4XZ/database-administration
align-database-design,Alignment,Data Engineering,https://lightcast.io/open-skills/skills/KS122QL6NN356RRJT6RV/database-design
align-debugging,Alignment,Debugging,https://lightcast.io/open-skills/skills/KS122SG5Y0Q5YQM7V8KT/debugging
align-decision-making,Alignment,Decision Making,https://lightcast.io/open-skills/skills/KS121W46CJXQ5ZQ506MS/decision-making
align-deductive-reasoning,Alignment,Deductive Reasoning,https://lightcast.io/open-skills/skills/KS122SX5ZKP98Q69G6HV/deductive-reasoning
align-dental-examinations,Alignment,Dental Examinations,https://lightcast.io/open-skills/skills/KSQ79QFD7JY0G2NUXV5T/dental-examinations
align-dental-materials,Alignment,Dental Materials,https://lightcast.io/open-skills/skills/KSCWLHIOM07CPE19DKU7/dental-materials
align-design-thinking,Alignment,Design Thinking,https://lightcast.io/open-skills/skills/KS122VN6PXLVQXP4ZP9Q/design-thinking
align-design-tool,Alignment,Design Tool,https://lightcast.io/open-skills/skills/KS122VN6S99QJ1BWL6MC/design-tool
align-desktop-computing,Alignment,Desktop Computing,https://lightcast.io/open-skills/skills/KS122VR6R5ZRQCKXX5R8/desktop-computing
align-devops,Alignment,DevOps,https://lightcast.io/open-skills/skills/KS122W96T2T9J5PZ0VMP/devops
align-diagnostic-skills,Alignment,Diagnostic Skills,https://lightcast.io/open-skills/skills/KSCNCCMV3JN47UPTR0I0/diagnostic-skills
align-diagnostic-tests,Alignment,Diagnostic Tests,https://lightcast.io/open-skills/skills/KS122026T330GBFBDD8M/diagnostic-tests
align-differentiated-instruction,Alignment,Differentiated Instruction,https://lightcast.io/open-skills/skills/KS122XY6C5JW4HMT0VT7/differentiated-instruction
align-digital-communications,Alignment,Digital Communications,https://lightcast.io/open-skills/skills/ES3A37D4161E9FB375B2/digital-communications
align-digital-literacy,Alignment,Digital Literacy,https://lightcast.io/open-skills/skills/ESB04BCB6189A2CB271E/digital-literacy
align-digital-marketing,Alignment,Digital Marketing,https://lightcast.io/open-skills/skills/KS122YN6108R0RSDXXRC/digital-marketing
align-digital-marketing-analytics,Alignment,Digital Marketing Analytics,https://careerfoundry.com/en/blog/digital-marketing/digital-marketing-analytics/
align-disability-management,Alignment,Disability Management,https://lightcast.io/open-skills/skills/KS1230D75WX241JP61XP/disability-management
align-disaster-recovery,Alignment,Disaster Recovery,https://lightcast.io/open-skills/skills/KS1230J6Z8029TC15P7L/disaster-recovery
align-diversity-and-inclusion,Alignment,Diversity and Inclusion,https://lightcast.io/open-skills/skills/ES927EF31A5D2B127B50/diversity-and-inclusion
align-diversity-awareness,Alignment,Diversity Awareness,https://lightcast.io/open-skills/skills/KS123285XWQS1TVY0YJ4/diversity-awareness
align-diversity-management,Alignment,Diversity Management,https://lightcast.io/open-skills/skills/KS7G6XB661ZQZM7SXS11/diversity-management
align-diversity-strategies,Alignment,Diversity Strategies,https://lightcast.io/open-skills/skills/KS7G6HW69QX4SLH3Z5XB/diversity-strategies
align-document-management-systems,Alignment,Document Management Systems,https://lightcast.io/open-skills/skills/KS122Y174MLT2HYVMJDP/document-management-systems
align-e-commerce,Alignment,E-Commerce,https://lightcast.io/open-skills/skills/KS1238H659P08Z726BK8/e-commerce
align-economics,Alignment,Economics,https://lightcast.io/open-skills/skills/KS1239W6QZKL1H0TF1TJ/economics
align-education-advocacy,Alignment,Educational Advocacy,https://soeonline.american.edu/blog/education-advocacy/
align-education-law-html,Alignment,Education Law,https://www.findlaw.com/hirealawyer/choosing-the-right-lawyer/education-law.html
align-educational-assessment,Alignment,Educational Assessment,https://lightcast.io/open-skills/skills/ES58473DDE93A7E10CC4/educational-assessment
align-educational-evaluation,Alignment,Educational Evaluation,https://lightcast.io/open-skills/skills/KS123C26WT1BJCGR08PQ/educational-evaluation
align-educational-leadership,Alignment,Educational Leadership,https://lightcast.io/open-skills/skills/KS123C271JPZ5MHPZG97/educational-leadership
align-educational-management,Alignment,Educational Management,https://www.theknowledgeacademy.com/blog/educational-management/
align-educational-operations-types-impact,Alignment,Educational Operations,https://teachers.institute/understanding-education/educational-operations-types-impact/
align-educational-resource,Alignment,Educational Resources,https://www.sciencedirect.com/topics/social-sciences/educational-resource
align-educational-technologies,Alignment,Educational Technologies,https://lightcast.io/open-skills/skills/KS121YM5YHFCQG78PSP4/educational-technologies
align-electronic-portfolio,Alignment,Electronic Portfolio,https://lightcast.io/open-skills/skills/KS122YX6TWMC60V04FV2/electronic-portfolio
align-emotional-intelligence,Alignment,Emotional Intelligence,https://lightcast.io/open-skills/skills/KS123HL75PX38KTJXYKJ/emotional-intelligence
align-empirical-analysis,Alignment,Empirical Analysis,https://lightcast.io/open-skills/skills/ES7548F482AB199AE284/empirical-analysis
align-employee-coaching,Alignment,Employee Coaching,https://lightcast.io/open-skills/skills/BGSD16A8EEF4F5775E15/employee-coaching
align-employee-engagement,Alignment,Employee Engagement,https://lightcast.io/open-skills/skills/KS123HV5WHQXDMXZ667K/employee-engagement
align-employee-onboarding,Alignment,Onboarding,https://lightcast.io/open-skills/skills/KS127887314GMCR1VRR5/employee-onboarding
align-employee-relations,Alignment,Employee Relations,https://lightcast.io/open-skills/skills/ES47BA93FC30E2F301DC/employee-relations
align-employee-retention-strategy,Alignment,Employee Retention,https://lightcast.io/open-skills/skills/KS123HZ73G741DQSFX8R/employee-retention-strategy
align-encryption,Alignment,Encryption,https://lightcast.io/open-skills/skills/KS122ST5X31W4TVGPN0B/encryption
align-enterprise-architecture,Alignment,Enterprise Architecture,https://lightcast.io/open-skills/skills/KS1254R6D2Y03RHKCVHR/enterprise-architecture
align-enterprise-resource-planning,Alignment,Enterprise Resource Planning,https://lightcast.io/open-skills/skills/KS123KH77136Y0FWRNJY/enterprise-resource-planning
align-epidemiology,Alignment,Epidemiology,https://lightcast.io/open-skills/skills/KS121ZH6P3FLG2QS4QGN/epidemiology
align-es106aa1aac82c9b3254,Alignment,Progress Monitoring,https://skills.emsidata.com/skills/ES106AA1AAC82C9B3254
align-es12001a151f8c659b87,Alignment,Customer Segmentation,https://lightcast.io/open-skills/skills/ES12001A151F8C659B87
align-es12f6869e7f07d20f2f,Alignment,Academic Accommodation Plans,https://skills.emsidata.com/skills/ES12F6869E7F07D20F2F
align-es13f9d52a14d3e8eeca,Alignment,DoD Information Assurance Certification and Accreditation Process (DIACAP),https://skills.emsidata.com/skills/ES13F9D52A14D3E8EECA
align-es15bdbdf726bdd1c96a,Alignment,Allyship,https://skills.emsidata.com/skills/ES15BDBDF726BDD1C96A
align-es1770deb77fad2c20d3,Alignment,Industry Analysis,https://skills.emsidata.com/skills/ES1770DEB77FAD2C20D3
align-es1bcc99ec731b69f632,Alignment,Care Coordination,https://skills.emsidata.com/skills/ES1BCC99EC731B69F632
align-es1beeb0ea9bcfd65927,Alignment,Tax Compliance,https://skills.emsidata.com/skills/ES1BEEB0EA9BCFD65927
align-es1c53496b6f1ecedd9a,Alignment,Empathy,https://skills.emsidata.com/skills/ES1C53496B6F1ECEDD9A
align-es1db5332412f8a5ec54,Alignment,Presentation Graphics,https://skills.lightcast.io/skills/ES1DB5332412F8A5EC54
align-es1e6eff7f7429763b50,Alignment,Credit Risk,https://skills.emsidata.com/skills/ES1E6EFF7F7429763B50
align-es20ceca4ff83ece8196,Alignment,Influencing Skills,https://skills.emsidata.com/skills/ES20CECA4FF83ECE8196
align-es245168023ed7c5476b,Alignment,Student Services,https://lightcast.io/open-skills/skills/ES245168023ED7C5476B
align-es246381c6b751e993d6,Alignment,Classroom Management,https://skills.emsidata.com/skills/ES246381C6B751E993D6
align-es254fc6375272479c21,Alignment,Professional Practice Evaluation,https://skills.emsidata.com/skills/ES254FC6375272479C21
align-es2971ac6990867c5311,Alignment,Law Enforcement Communications,https://skills.emsidata.com/skills/ES2971AC6990867C5311
align-es2cc185fc27bc0df8fe,Alignment,Talent Acquisition,https://skills.emsidata.com/skills/ES2CC185FC27BC0DF8FE
align-es2df577c8b1bd54b16c,Alignment,Academic Advising,https://skills.emsidata.com/skills/ES2DF577C8B1BD54B16C
align-es2f89d25ba6ffc32fa9,Alignment,Self-Directed Learning,https://skills.emsidata.com/skills/ES2F89D25BA6FFC32FA9
align-es30611823cee242f0e6,Alignment,ADDIE Instructional Design Model,https://lightcast.io/open-skills/skills/ES30611823CEE242F0E6
align-es317d6eadb0b843d141,Alignment,Applied Ethics,https://lightcast.io/open-skills/skills/ES317D6EADB0B843D141
align-es326e6b8baad4315446,Alignment,Third-Party Insurance Reimbursement,https://skills.emsidata.com/skills/ES326E6B8BAAD4315446
align-es33ab8b5444b3241068,Alignment,Use of Force,https://skills.emsidata.com/skills/ES33AB8B5444B3241068
align-es35d1bbf1cb1331bba7,Alignment,Special Education,https://lightcast.io/open-skills/skills/ES35D1BBF1CB1331BBA7
align-es36640ebd9133dc4bb2,Alignment,Prompt Engineering,https://lightcast.io/open-skills/skills/ES36640EBD9133DC4BB2
align-es36efb6b54c8df17492,Alignment,Media Literacy,https://skills.emsidata.com/skills/ES36EFB6B54C8DF17492
align-es3721619d6cd61e7756,Alignment,Health And Wellness Management,https://skills.emsidata.com/skills/ES3721619D6CD61E7756
align-es3887d0ef43c2dfe14d,Alignment,Patience,https://skills.emsidata.com/skills/ES3887D0EF43C2DFE14D
align-es3937eec3d5d7345412,Alignment,Full Stack Software Engineering,https://skills.emsidata.com/skills/ES3937EEC3D5D7345412
align-es397ceb1f7adecf5c21,Alignment,Educational Administration,https://lightcast.io/open-skills/skills/ES397CEB1F7ADECF5C21
align-es3a33737c74d25d112a,Alignment,Brand Strategy,https://skills.emsidata.com/skills/ES3A33737C74D25D112A
align-es3cf11c63ccc7282d83,Alignment,Endodontics,https://skills.emsidata.com/skills/ES3CF11C63CCC7282D83
align-es3d904298e3cd984dfe,Alignment,Optimism,https://skills.emsidata.com/skills/ES3D904298E3CD984DFE
align-es3dfc177bffc0f2828b,Alignment,Recognizing Strengths,https://skills.emsidata.com/skills/ES3DFC177BFFC0F2828B
align-es439a3d77aadca9287d,Alignment,Therapeutic Interventions,https://skills.emsidata.com/skills/ES439A3D77AADCA9287D
